Resource,Activity,org:resource,concept:name,lifecycle:transition,time:timestamp,start:timestamp,case:creator,case:variant-index,case:variant,case:concept:name
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-07 21:55:00+01:00,2011-01-07 21:52:45.600000+01:00,Fluxicon Disco,1,Variant 1,3
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 21:55:00+01:00,2011-01-07 21:55:00+01:00,Fluxicon Disco,1,Variant 1,3
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 22:31:00+01:00,2011-01-07 22:06:31.200000+01:00,Fluxicon Disco,1,Variant 1,3
Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,complete,2011-01-01 15:00:00+01:00,2011-01-01 15:00:00+01:00,Fluxicon Disco,37,Variant 37,4
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 00:51:00+01:00,2011-01-02 00:51:00+01:00,Fluxicon Disco,37,Variant 37,4
Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,complete,2011-01-02 00:58:00+01:00,2011-01-02 00:58:00+01:00,Fluxicon Disco,37,Variant 37,4
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 02:19:00+01:00,2011-01-02 02:11:43.200000+01:00,Fluxicon Disco,37,Variant 37,4
Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,complete,2011-01-02 03:14:00+01:00,2011-01-02 03:14:00+01:00,Fluxicon Disco,37,Variant 37,4
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 04:24:00+01:00,2011-01-02 04:14:12+01:00,Fluxicon Disco,37,Variant 37,4
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-02 09:01:00+01:00,2011-01-02 07:50:01.200000+01:00,Fluxicon Disco,37,Variant 37,4
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-02 15:08:00+01:00,2011-01-02 13:06:53.400000+01:00,Fluxicon Disco,37,Variant 37,4
Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,complete,2011-01-02 22:13:00+01:00,2011-01-02 22:13:00+01:00,Fluxicon Disco,37,Variant 37,4
Kim Passa,Choose best option,Kim Passa,Choose best option,complete,2011-01-02 22:13:00+01:00,2011-01-02 22:13:00+01:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-03 13:45:00+01:00,2011-01-03 05:13:07.200000+01:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,complete,2011-01-03 18:17:00+01:00,2011-01-03 17:47:04.800000+01:00,Fluxicon Disco,37,Variant 37,4
Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,complete,2011-01-03 22:38:00+01:00,2011-01-03 22:38:00+01:00,Fluxicon Disco,37,Variant 37,4
Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,complete,2011-01-05 08:30:00+01:00,2011-01-05 08:30:00+01:00,Fluxicon Disco,37,Variant 37,4
Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,complete,2011-01-05 15:58:00+01:00,2011-01-05 14:56:48+01:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,complete,2011-01-06 06:30:00+01:00,2011-01-06 01:15:14.400000+01:00,Fluxicon Disco,37,Variant 37,4
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 12:13:00+01:00,2011-01-06 11:22:46.800000+01:00,Fluxicon Disco,37,Variant 37,4
Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,complete,2011-01-07 02:39:00+01:00,2011-01-07 02:39:00+01:00,Fluxicon Disco,37,Variant 37,4
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 03:32:00+01:00,2011-01-07 02:55:57.600000+01:00,Fluxicon Disco,37,Variant 37,4
Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,complete,2011-01-01 16:35:00+01:00,2011-01-01 16:35:00+01:00,Fluxicon Disco,37,Variant 37,5
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 07:57:00+01:00,2011-01-02 07:57:00+01:00,Fluxicon Disco,37,Variant 37,5
Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,complete,2011-01-02 08:06:00+01:00,2011-01-02 08:06:00+01:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 09:27:00+01:00,2011-01-02 09:15:39.600000+01:00,Fluxicon Disco,37,Variant 37,5
Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,complete,2011-01-02 10:33:00+01:00,2011-01-02 09:34:55.200000+01:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 15:42:00+01:00,2011-01-02 14:58:44.400000+01:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-03 01:21:00+01:00,2011-01-03 00:02:52.800000+01:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-03 02:14:00+01:00,2011-01-03 01:56:30.600000+01:00,Fluxicon Disco,37,Variant 37,5
Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Analyze Quotation Comparison Map,complete,2011-01-03 09:30:00+01:00,2011-01-03 08:03:36+01:00,Fluxicon Disco,37,Variant 37,5
Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,complete,2011-01-03 09:30:00+01:00,2011-01-03 09:30:00+01:00,Fluxicon Disco,37,Variant 37,5
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-04 01:12:00+01:00,2011-01-03 21:14:49.200000+01:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-04 03:09:00+01:00,2011-01-04 02:56:07.800000+01:00,Fluxicon Disco,37,Variant 37,5
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 07:24:00+01:00,2011-01-04 06:35:33+01:00,Fluxicon Disco,37,Variant 37,5
Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,complete,2011-01-05 10:37:00+01:00,2011-01-05 10:37:00+01:00,Fluxicon Disco,37,Variant 37,5
Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,complete,2011-01-05 18:14:00+01:00,2011-01-05 13:03:14.400000+01:00,Fluxicon Disco,37,Variant 37,5
Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,complete,2011-01-06 08:42:00+01:00,2011-01-06 08:41:08.400000+01:00,Fluxicon Disco,37,Variant 37,5
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 14:23:00+01:00,2011-01-06 13:37:06+01:00,Fluxicon Disco,37,Variant 37,5
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 04:47:00+01:00,2011-01-07 03:47:55.800000+01:00,Fluxicon Disco,37,Variant 37,5
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 05:04:00+01:00,2011-01-07 04:52:26.400000+01:00,Fluxicon Disco,37,Variant 37,5
Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,complete,2011-01-01 17:37:00+01:00,2011-01-01 17:37:00+01:00,Fluxicon Disco,10,Variant 10,6
Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,complete,2011-01-01 23:45:00+01:00,2011-01-01 23:45:00+01:00,Fluxicon Disco,10,Variant 10,6
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-02 00:55:00+01:00,2011-01-02 00:55:00+01:00,Fluxicon Disco,10,Variant 10,6
Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,complete,2011-01-02 01:55:00+01:00,2011-01-02 01:55:00+01:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 03:28:00+01:00,2011-01-02 03:14:58.800000+01:00,Fluxicon Disco,10,Variant 10,6
Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,complete,2011-01-02 04:28:00+01:00,2011-01-02 04:28:00+01:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 05:48:00+01:00,2011-01-02 05:48:00+01:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,complete,2011-01-02 16:22:00+01:00,2011-01-02 16:07:43.200000+01:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,complete,2011-01-02 21:32:00+01:00,2011-01-02 19:49:42+01:00,Fluxicon Disco,10,Variant 10,6
Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,Analyze Quotation Comparison Map,complete,2011-01-03 04:01:00+01:00,2011-01-03 03:55:00+01:00,Fluxicon Disco,10,Variant 10,6
Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,complete,2011-01-03 04:01:00+01:00,2011-01-03 04:01:00+01:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-03 19:16:00+01:00,2011-01-03 10:38:05.400000+01:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-03 21:07:00+01:00,2011-01-03 20:54:47.400000+01:00,Fluxicon Disco,10,Variant 10,6
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 01:16:00+01:00,2011-01-04 01:16:00+01:00,Fluxicon Disco,10,Variant 10,6
Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,complete,2011-01-05 09:16:00+01:00,2011-01-05 09:16:00+01:00,Fluxicon Disco,10,Variant 10,6
Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Release Purchase Order,complete,2011-01-05 16:28:00+01:00,2011-01-05 13:57:43.200000+01:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-05 23:10:00+01:00,2011-01-05 17:24:16.800000+01:00,Fluxicon Disco,10,Variant 10,6
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 04:56:00+01:00,2011-01-06 04:56:00+01:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-06 19:19:00+01:00,2011-01-06 19:19:00+01:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-06 19:19:00+01:00,2011-01-06 19:19:00+01:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-06 19:50:00+01:00,2011-01-06 19:50:00+01:00,Fluxicon Disco,10,Variant 10,6
Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,complete,2011-01-01 21:00:00+01:00,2011-01-01 21:00:00+01:00,Fluxicon Disco,13,Variant 13,7
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 19:38:00+01:00,2011-01-02 19:38:00+01:00,Fluxicon Disco,13,Variant 13,7
Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,complete,2011-01-02 19:42:00+01:00,2011-01-02 19:42:00+01:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-02 21:29:00+01:00,2011-01-02 21:14:01.200000+01:00,Fluxicon Disco,13,Variant 13,7
Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,complete,2011-01-02 22:28:00+01:00,2011-01-02 21:36:04.800000+01:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 23:47:00+01:00,2011-01-02 23:35:56.400000+01:00,Fluxicon Disco,13,Variant 13,7
Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,complete,2011-01-03 00:50:00+01:00,2011-01-03 00:50:00+01:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-03 02:28:00+01:00,2011-01-03 02:14:16.800000+01:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-03 06:40:00+01:00,2011-01-03 05:38:15.600000+01:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,complete,2011-01-03 18:08:00+01:00,2011-01-03 14:20:57.600000+01:00,Fluxicon Disco,13,Variant 13,7
Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,Analyze Quotation Comparison Map,complete,2011-01-04 01:35:00+01:00,2011-01-03 23:47:43.200000+01:00,Fluxicon Disco,13,Variant 13,7
Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,complete,2011-01-04 01:35:00+01:00,2011-01-04 01:35:00+01:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-04 19:08:00+01:00,2011-01-04 07:43:15.600000+01:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-04 23:18:00+01:00,2011-01-04 22:50:30+01:00,Fluxicon Disco,13,Variant 13,7
Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,complete,2011-01-05 08:44:00+01:00,2011-01-05 08:42:40.200000+01:00,Fluxicon Disco,13,Variant 13,7
Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,complete,2011-01-06 01:17:00+01:00,2011-01-06 01:17:00+01:00,Fluxicon Disco,13,Variant 13,7
Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,complete,2011-01-06 08:35:00+01:00,2011-01-06 03:37:09.600000+01:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,complete,2011-01-06 16:44:00+01:00,2011-01-06 09:43:27.600000+01:00,Fluxicon Disco,13,Variant 13,7
Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,complete,2011-01-07 01:11:00+01:00,2011-01-07 01:11:00+01:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-07 15:27:00+01:00,2011-01-07 15:27:00+01:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 15:27:00+01:00,2011-01-07 15:27:00+01:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 15:53:00+01:00,2011-01-07 15:53:00+01:00,Fluxicon Disco,13,Variant 13,7
Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,complete,2011-01-01 21:17:00+01:00,2011-01-01 21:17:00+01:00,Fluxicon Disco,8,Variant 8,8
Tesca Lobes,Create Request for Quotation,Tesca Lobes,Create Request for Quotation,complete,2011-01-02 00:07:00+01:00,2011-01-02 00:00:29.400000+01:00,Fluxicon Disco,8,Variant 8,8
