Resource,Activity,org:resource,concept:name,lifecycle:transition,time:timestamp,start:timestamp,case:creator,case:variant-index,case:variant,case:concept:name
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-01 17:48:00+00:00,2011-01-01 17:48:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,complete,2011-01-01 18:39:00+00:00,2011-01-01 18:14:00.600000+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 19:38:00+00:00,2011-01-01 19:38:00+00:00,Fluxicon Disco,20,Variant 20,2
Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,complete,2011-01-01 21:40:00+00:00,2011-01-01 21:40:00+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-01 22:43:00+00:00,2011-01-01 22:43:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,complete,2011-01-02 05:44:00+00:00,2011-01-02 04:02:57.600000+00:00,Fluxicon Disco,20,Variant 20,2
Fjodor Kowalski,Choose best option,Fjodor Kowalski,Choose best option,complete,2011-01-02 05:44:00+00:00,2011-01-02 05:44:00+00:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-02 21:07:00+00:00,2011-01-02 06:48:36.600000+00:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,complete,2011-01-02 22:31:00+00:00,2011-01-02 22:25:57.600000+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,complete,2011-01-03 02:29:00+00:00,2011-01-03 02:29:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,complete,2011-01-04 20:53:00+00:00,2011-01-04 20:53:00+00:00,Fluxicon Disco,20,Variant 20,2
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-05 05:02:00+00:00,2011-01-04 21:17:27+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-05 15:04:00+00:00,2011-01-05 14:34:48+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-05 20:50:00+00:00,2011-01-05 20:41:36+00:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,complete,2011-01-06 11:07:00+00:00,2011-01-06 11:07:00+00:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,complete,2011-01-06 11:58:00+00:00,2011-01-06 11:58:00+00:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,complete,2011-01-06 11:58:00+00:00,2011-01-06 11:58:00+00:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-06 12:32:00+00:00,2011-01-06 12:32:00+00:00,Fluxicon Disco,20,Variant 20,2
Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,complete,2011-01-01 09:03:00+00:00,2011-01-01 09:03:00+00:00,Fluxicon Disco,1,Variant 1,3
Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,complete,2011-01-02 07:58:00+00:00,2011-01-02 01:44:12+00:00,Fluxicon Disco,1,Variant 1,3
Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,complete,2011-01-02 08:03:00+00:00,2011-01-02 08:03:00+00:00,Fluxicon Disco,1,Variant 1,3
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 09:48:00+00:00,2011-01-02 09:12:18+00:00,Fluxicon Disco,1,Variant 1,3
Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,complete,2011-01-02 21:55:00+00:00,2011-01-02 20:05:57+00:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,complete,2011-01-03 03:00:00+00:00,2011-01-02 22:17:03.600000+00:00,Fluxicon Disco,1,Variant 1,3
Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Analyze Quotation Comparison Map,complete,2011-01-03 09:47:00+00:00,2011-01-03 08:09:19.200000+00:00,Fluxicon Disco,1,Variant 1,3
Christian Francois,Choose best option,Christian Francois,Choose best option,complete,2011-01-03 09:47:00+00:00,2011-01-03 09:47:00+00:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-04 04:16:00+00:00,2011-01-03 20:17:03+00:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,complete,2011-01-04 05:59:00+00:00,2011-01-04 05:52:49.200000+00:00,Fluxicon Disco,1,Variant 1,3
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 10:10:00+00:00,2011-01-04 09:42:23.400000+00:00,Fluxicon Disco,1,Variant 1,3
Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,complete,2011-01-05 20:20:00+00:00,2011-01-05 20:20:00+00:00,Fluxicon Disco,1,Variant 1,3
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-06 03:55:00+00:00,2011-01-05 20:42:45+00:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,complete,2011-01-06 19:47:00+00:00,2011-01-06 19:36:12+00:00,Fluxicon Disco,1,Variant 1,3
Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,complete,2011-01-07 07:33:00+00:00,2011-01-07 07:33:00+00:00,Fluxicon Disco,1,Variant 1,3
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-07 21:55:00+00:00,2011-01-07 21:50:01.800000+00:00,Fluxicon Disco,1,Variant 1,3
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 21:55:00+00:00,2011-01-07 21:55:00+00:00,Fluxicon Disco,1,Variant 1,3
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 22:31:00+00:00,2011-01-07 21:55:43.200000+00:00,Fluxicon Disco,1,Variant 1,3
Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,complete,2011-01-01 15:00:00+00:00,2011-01-01 15:00:00+00:00,Fluxicon Disco,37,Variant 37,4
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 00:51:00+00:00,2011-01-02 00:51:00+00:00,Fluxicon Disco,37,Variant 37,4
Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,complete,2011-01-02 00:58:00+00:00,2011-01-02 00:58:00+00:00,Fluxicon Disco,37,Variant 37,4
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 02:19:00+00:00,2011-01-02 02:01:19.200000+00:00,Fluxicon Disco,37,Variant 37,4
Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,complete,2011-01-02 03:14:00+00:00,2011-01-02 03:14:00+00:00,Fluxicon Disco,37,Variant 37,4
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 04:24:00+00:00,2011-01-02 04:00:12+00:00,Fluxicon Disco,37,Variant 37,4
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-02 09:01:00+00:00,2011-01-02 08:35:39+00:00,Fluxicon Disco,37,Variant 37,4
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-02 15:08:00+00:00,2011-01-02 09:23:01.200000+00:00,Fluxicon Disco,37,Variant 37,4
Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,complete,2011-01-02 22:13:00+00:00,2011-01-02 22:13:00+00:00,Fluxicon Disco,37,Variant 37,4
Kim Passa,Choose best option,Kim Passa,Choose best option,complete,2011-01-02 22:13:00+00:00,2011-01-02 22:13:00+00:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-03 13:45:00+00:00,2011-01-03 01:54:28.800000+00:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,complete,2011-01-03 18:17:00+00:00,2011-01-03 18:00:40.800000+00:00,Fluxicon Disco,37,Variant 37,4
Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,complete,2011-01-03 22:38:00+00:00,2011-01-03 22:38:00+00:00,Fluxicon Disco,37,Variant 37,4
Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,complete,2011-01-05 08:30:00+00:00,2011-01-05 08:30:00+00:00,Fluxicon Disco,37,Variant 37,4
Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,complete,2011-01-05 15:58:00+00:00,2011-01-05 14:32:30+00:00,Fluxicon Disco,37,Variant 37,4
Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,complete,2011-01-06 06:30:00+00:00,2011-01-06 04:03:36+00:00,Fluxicon Disco,37,Variant 37,4
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 12:13:00+00:00,2011-01-06 11:46:57.600000+00:00,Fluxicon Disco,37,Variant 37,4
Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,complete,2011-01-07 02:39:00+00:00,2011-01-07 02:39:00+00:00,Fluxicon Disco,37,Variant 37,4
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 03:32:00+00:00,2011-01-07 02:40:03.600000+00:00,Fluxicon Disco,37,Variant 37,4
Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,complete,2011-01-01 16:35:00+00:00,2011-01-01 16:35:00+00:00,Fluxicon Disco,37,Variant 37,5
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 07:57:00+00:00,2011-01-02 07:57:00+00:00,Fluxicon Disco,37,Variant 37,5
Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,complete,2011-01-02 08:06:00+00:00,2011-01-02 08:06:00+00:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 09:27:00+00:00,2011-01-02 08:59:27.600000+00:00,Fluxicon Disco,37,Variant 37,5
Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,complete,2011-01-02 10:33:00+00:00,2011-01-02 10:00:39.600000+00:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 15:42:00+00:00,2011-01-02 13:56:56.400000+00:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-03 01:21:00+00:00,2011-01-03 00:53:06+00:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-03 02:14:00+00:00,2011-01-03 01:24:10.800000+00:00,Fluxicon Disco,37,Variant 37,5
Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Analyze Quotation Comparison Map,complete,2011-01-03 09:30:00+00:00,2011-01-03 08:03:36+00:00,Fluxicon Disco,37,Variant 37,5
Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,complete,2011-01-03 09:30:00+00:00,2011-01-03 09:30:00+00:00,Fluxicon Disco,37,Variant 37,5
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-04 01:12:00+00:00,2011-01-03 19:42:46.800000+00:00,Fluxicon Disco,37,Variant 37,5
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-04 03:09:00+00:00,2011-01-04 03:01:58.800000+00:00,Fluxicon Disco,37,Variant 37,5
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 07:24:00+00:00,2011-01-04 06:55:57+00:00,Fluxicon Disco,37,Variant 37,5
Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,complete,2011-01-05 10:37:00+00:00,2011-01-05 10:37:00+00:00,Fluxicon Disco,37,Variant 37,5
Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,complete,2011-01-05 18:14:00+00:00,2011-01-05 10:59:51+00:00,Fluxicon Disco,37,Variant 37,5
Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,complete,2011-01-06 08:42:00+00:00,2011-01-06 08:41:36+00:00,Fluxicon Disco,37,Variant 37,5
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 14:23:00+00:00,2011-01-06 13:59:12+00:00,Fluxicon Disco,37,Variant 37,5
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 04:47:00+00:00,2011-01-07 04:04:02.400000+00:00,Fluxicon Disco,37,Variant 37,5
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 05:04:00+00:00,2011-01-07 04:47:20.400000+00:00,Fluxicon Disco,37,Variant 37,5
Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,complete,2011-01-01 17:37:00+00:00,2011-01-01 17:37:00+00:00,Fluxicon Disco,10,Variant 10,6
Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,complete,2011-01-01 23:45:00+00:00,2011-01-01 23:45:00+00:00,Fluxicon Disco,10,Variant 10,6
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-02 00:55:00+00:00,2011-01-02 00:55:00+00:00,Fluxicon Disco,10,Variant 10,6
Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,complete,2011-01-02 01:55:00+00:00,2011-01-02 01:55:00+00:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 03:28:00+00:00,2011-01-02 02:56:22.800000+00:00,Fluxicon Disco,10,Variant 10,6
Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,complete,2011-01-02 04:28:00+00:00,2011-01-02 04:28:00+00:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 05:48:00+00:00,2011-01-02 05:48:00+00:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,complete,2011-01-02 16:22:00+00:00,2011-01-02 16:16:54+00:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,complete,2011-01-02 21:32:00+00:00,2011-01-02 16:40:36+00:00,Fluxicon Disco,10,Variant 10,6
Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,Analyze Quotation Comparison Map,complete,2011-01-03 04:01:00+00:00,2011-01-03 03:55:00+00:00,Fluxicon Disco,10,Variant 10,6
Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,complete,2011-01-03 04:01:00+00:00,2011-01-03 04:01:00+00:00,Fluxicon Disco,10,Variant 10,6
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-03 19:16:00+00:00,2011-01-03 07:17:06.600000+00:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-03 21:07:00+00:00,2011-01-03 21:00:20.400000+00:00,Fluxicon Disco,10,Variant 10,6
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 01:16:00+00:00,2011-01-04 01:16:00+00:00,Fluxicon Disco,10,Variant 10,6
Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,complete,2011-01-05 09:16:00+00:00,2011-01-05 09:16:00+00:00,Fluxicon Disco,10,Variant 10,6
Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Release Purchase Order,complete,2011-01-05 16:28:00+00:00,2011-01-05 12:58:03+00:00,Fluxicon Disco,10,Variant 10,6
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-05 23:10:00+00:00,2011-01-05 20:29:12+00:00,Fluxicon Disco,10,Variant 10,6
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-06 04:56:00+00:00,2011-01-06 04:56:00+00:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-06 19:19:00+00:00,2011-01-06 19:19:00+00:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-06 19:19:00+00:00,2011-01-06 19:19:00+00:00,Fluxicon Disco,10,Variant 10,6
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-06 19:50:00+00:00,2011-01-06 19:50:00+00:00,Fluxicon Disco,10,Variant 10,6
Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,complete,2011-01-01 21:00:00+00:00,2011-01-01 21:00:00+00:00,Fluxicon Disco,13,Variant 13,7
Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,complete,2011-01-02 19:38:00+00:00,2011-01-02 19:38:00+00:00,Fluxicon Disco,13,Variant 13,7
Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,complete,2011-01-02 19:42:00+00:00,2011-01-02 19:42:00+00:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-02 21:29:00+00:00,2011-01-02 20:52:37.200000+00:00,Fluxicon Disco,13,Variant 13,7
Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,complete,2011-01-02 22:28:00+00:00,2011-01-02 21:59:05.400000+00:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 23:47:00+00:00,2011-01-02 23:20:08.400000+00:00,Fluxicon Disco,13,Variant 13,7
Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,complete,2011-01-03 00:50:00+00:00,2011-01-03 00:50:00+00:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-03 02:28:00+00:00,2011-01-03 01:54:40.800000+00:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-03 06:40:00+00:00,2011-01-03 06:17:57+00:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,complete,2011-01-03 18:08:00+00:00,2011-01-03 07:21:16.800000+00:00,Fluxicon Disco,13,Variant 13,7
Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,Analyze Quotation Comparison Map,complete,2011-01-04 01:35:00+00:00,2011-01-03 23:47:43.200000+00:00,Fluxicon Disco,13,Variant 13,7
Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,complete,2011-01-04 01:35:00+00:00,2011-01-04 01:35:00+00:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-04 19:08:00+00:00,2011-01-04 03:17:32.400000+00:00,Fluxicon Disco,13,Variant 13,7
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-04 23:18:00+00:00,2011-01-04 23:03:00+00:00,Fluxicon Disco,13,Variant 13,7
Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,complete,2011-01-05 08:44:00+00:00,2011-01-05 08:43:13.800000+00:00,Fluxicon Disco,13,Variant 13,7
Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,complete,2011-01-06 01:17:00+00:00,2011-01-06 01:17:00+00:00,Fluxicon Disco,13,Variant 13,7
Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,complete,2011-01-06 08:35:00+00:00,2011-01-06 01:38:54+00:00,Fluxicon Disco,13,Variant 13,7
Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,complete,2011-01-06 16:44:00+00:00,2011-01-06 13:28:24+00:00,Fluxicon Disco,13,Variant 13,7
Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,complete,2011-01-07 01:11:00+00:00,2011-01-07 01:11:00+00:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-07 15:27:00+00:00,2011-01-07 15:27:00+00:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-07 15:27:00+00:00,2011-01-07 15:27:00+00:00,Fluxicon Disco,13,Variant 13,7
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-07 15:53:00+00:00,2011-01-07 15:53:00+00:00,Fluxicon Disco,13,Variant 13,7
Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,complete,2011-01-01 21:17:00+00:00,2011-01-01 21:17:00+00:00,Fluxicon Disco,8,Variant 8,8
Tesca Lobes,Create Request for Quotation,Tesca Lobes,Create Request for Quotation,complete,2011-01-02 00:07:00+00:00,2011-01-01 22:34:55.800000+00:00,Fluxicon Disco,8,Variant 8,8
Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,complete,2011-01-02 01:27:00+00:00,2011-01-02 01:27:00+00:00,Fluxicon Disco,8,Variant 8,8
